Tiempo ,Entrada,ANGULO,POSICION
10.28,0.0,-0.319,0.263
10.3,0.0,-0.267,0.263
10.32,0.0,-0.211,0.263
10.34,0.0,-0.152,0.263
10.36,0.0,-0.091,0.263
10.38,0.0,-0.03,0.263
10.4,0.0,0.033,0.263
10.42,0.0,0.096,0.263
10.44,0.0,0.155,0.263
10.46,0.0,0.215,0.263
10.48,0.0,0.269,0.263
10.5,0.0,0.321,0.263
10.52,0.0,0.368,0.263
10.54,0.0,0.41,0.263
10.56,0.0,0.447,0.263
10.58,0.0,0.476,0.263
10.6,0.0,0.499,0.263
10.62,0.0,0.513,0.263
10.64,0.0,0.522,0.263
10.66,0.0,0.524,0.263
10.68,0.0,0.518,0.263
10.7,0.0,0.506,0.263
10.72,0.0,0.483,0.263
10.74,0.0,0.457,0.263
10.76,0.0,0.422,0.263
10.78,0.0,0.382,0.263
10.8,0.0,0.339,0.263
10.82,0.0,0.288,0.263
10.84,0.0,0.234,0.263
10.86,0.0,0.176,0.263
10.88,0.0,0.117,0.263
10.9,0.0,0.054,0.263
10.92,0.0,-0.009,0.263
10.94,0.0,-0.07,0.263
10.96,0.0,-0.131,0.263
10.98,0.0,-0.19,0.263
11.0,0.0,-0.248,0.263
11.02,0.0,-0.3,0.263
11.04,0.0,-0.349,0.263
11.06,0.0,-0.393,0.263
11.08,0.0,-0.433,0.263
11.1,0.0,-0.464,0.263
11.12,0.0,-0.49,0.263
11.14,0.0,-0.508,0.263
11.16,0.0,-0.52,0.263
11.18,0.0,-0.524,0.263
11.2,0.0,-0.522,0.263
11.22,0.0,-0.513,0.263
11.24,0.0,-0.494,0.263
11.26,0.0,-0.469,0.263
11.28,0.0,-0.438,0.263
11.3,0.0,-0.401,0.263
11.32,0.0,-0.358,0.263
11.34,0.0,-0.311,0.263
11.36,0.0,-0.258,0.263
11.38,0.0,-0.202,0.263
11.4,0.0,-0.143,0.263
11.42,0.0,-0.082,0.263
11.44,0.0,-0.019,0.263
11.46,0.0,0.042,0.263
11.48,0.0,0.103,0.263
11.5,0.0,0.164,0.263
11.52,0.0,0.222,0.263
11.54,0.0,0.276,0.263
11.56,0.0,0.326,0.263
11.58,0.0,0.372,0.263
11.6,0.0,0.412,0.263
11.62,0.0,0.449,0.263
11.64,0.0,0.476,0.263
11.66,0.0,0.497,0.263
11.68,0.0,0.511,0.263
11.7,0.0,0.52,0.263
11.72,0.0,0.52,0.263
11.74,0.0,0.513,0.263
11.76,0.0,0.501,0.263
11.78,0.0,0.478,0.263
11.8,0.0,0.45,0.263
11.82,0.0,0.415,0.263
11.84,0.0,0.375,0.263
11.86,0.0,0.328,0.263
11.88,0.0,0.279,0.263
11.9,0.0,0.225,0.263
11.92,0.0,0.168,0.263
11.94,0.0,0.108,0.263
11.96,0.0,0.045,0.263
11.98,0.0,-0.016,0.263
12.0,0.0,-0.079,0.263
12.02,0.0,-0.138,0.263
12.04,0.0,-0.197,0.263
12.06,0.0,-0.253,0.263
12.08,0.0,-0.305,0.263
12.1,0.0,-0.354,0.263
12.12,0.0,-0.396,0.263
12.14,0.0,-0.435,0.263
12.16,0.0,-0.466,0.263
12.18,0.0,-0.49,0.263
12.2,0.0,-0.508,0.263
12.22,0.0,-0.518,0.263
12.24,0.0,-0.522,0.263
12.26,0.0,-0.518,0.263
12.28,0.0,-0.508,0.263
12.3,0.0,-0.489,0.263
12.32,0.0,-0.464,0.263
12.34,0.0,-0.433,0.263
12.36,0.0,-0.393,0.263
12.38,0.0,-0.351,0.263
12.4,0.0,-0.302,0.263
12.42,0.0,-0.25,0.263
12.44,0.0,-0.194,0.263
12.46,0.0,-0.134,0.263
12.48,0.0,-0.073,0.263
12.5,0.0,-0.012,0.263
12.52,0.0,0.049,0.263
12.54,0.0,0.112,0.263
12.56,0.0,0.171,0.263
12.58,0.0,0.227,0.263
12.6,0.0,0.281,0.263
12.62,0.0,0.332,0.263
12.64,0.0,0.375,0.263
12.66,0.0,0.415,0.263
12.68,0.0,0.45,0.263
12.7,0.0,0.476,0.263
12.72,0.0,0.497,0.263
12.74,0.0,0.511,0.263
12.76,0.0,0.517,0.263
12.78,0.0,0.517,0.263
12.8,0.0,0.51,0.263
12.82,0.0,0.494,0.263
12.84,0.0,0.473,0.263
12.86,0.0,0.443,0.263
12.88,0.0,0.407,0.263
12.9,0.0,0.367,0.263
12.92,0.0,0.319,0.263
12.94,0.0,0.269,0.263
12.96,0.0,0.215,0.263
12.98,0.0,0.157,0.263
13.0,0.0,0.098,0.263
13.02,0.0,0.037,0.263
13.04,0.0,-0.024,0.263
13.06,0.0,-0.086,0.263
13.08,0.0,-0.147,0.263
13.1,0.0,-0.204,0.263
13.12,0.0,-0.26,0.263
13.14,0.0,-0.311,0.263
13.16,0.0,-0.358,0.263
13.18,0.0,-0.4,0.263
13.2,0.0,-0.436,0.263
13.22,0.0,-0.466,0.263
13.24,0.0,-0.49,0.263
13.26,0.0,-0.506,0.263
13.28,0.0,-0.517,0.263
13.3,0.0,-0.518,0.263
13.32,0.0,-0.515,0.263
13.34,0.0,-0.503,0.263
13.36,0.0,-0.483,0.263
13.38,0.0,-0.457,0.263
13.4,0.0,-0.424,0.263
13.42,0.0,-0.386,0.263
13.44,0.0,-0.342,0.263
13.46,0.0,-0.293,0.263
13.48,0.0,-0.241,0.263
13.5,0.0,-0.185,0.263
13.52,0.0,-0.126,0.263
13.54,0.0,-0.065,0.263
13.56,0.0,-0.003,0.263
13.58,0.0,0.058,0.263
13.6,0.0,0.119,0.263
13.62,0.0,0.176,0.263
13.64,0.0,0.234,0.263
13.66,0.0,0.286,0.263
13.68,0.0,0.335,0.263
13.7,0.0,0.379,0.263
13.72,0.0,0.419,0.263
13.74,0.0,0.45,0.263
13.76,0.0,0.476,0.263
13.78,0.0,0.496,0.263
13.8,0.0,0.51,0.263
13.82,0.0,0.515,0.263
13.84,0.0,0.513,0.263
13.86,0.0,0.504,0.263
13.88,0.0,0.489,0.263
13.9,0.0,0.466,0.263
13.92,0.0,0.436,0.263
13.94,0.0,0.4,0.263
13.96,0.0,0.36,0.263
13.98,0.0,0.312,0.263
14.0,0.0,0.262,0.263
14.02,0.0,0.206,0.263
14.04,0.0,0.148,0.263
14.06,0.0,0.089,0.263
14.08,0.0,0.03,0.263
14.1,0.0,-0.033,0.263
14.12,0.0,-0.094,0.263
14.14,0.0,-0.154,0.263
14.16,0.0,-0.211,0.263
14.18,0.0,-0.265,0.263
14.2,0.0,-0.316,0.263
14.22,0.0,-0.361,0.263
14.24,0.0,-0.403,0.263
14.26,0.0,-0.438,0.263
14.28,0.0,-0.466,0.263
14.3,0.0,-0.49,0.263
14.32,0.0,-0.504,0.263
14.34,0.0,-0.515,0.263
14.36,0.0,-0.517,0.263
14.38,0.0,-0.511,0.263
14.4,0.0,-0.497,0.263
14.42,0.0,-0.476,0.263
14.44,0.0,-0.45,0.263
14.46,0.0,-0.417,0.263
14.48,0.0,-0.379,0.263
14.5,0.0,-0.333,0.263
14.52,0.0,-0.284,0.263
14.54,0.0,-0.232,0.263
14.56,0.0,-0.176,0.263
14.58,0.0,-0.117,0.263
14.6,0.0,-0.056,0.263
14.62,0.0,0.005,0.263
14.64,0.0,0.066,0.263
14.66,0.0,0.126,0.263
14.68,0.0,0.183,0.263
