Tiempo ,Entrada,ANGULO,POSICION
11.4,0.0,-0.131,0.272
11.42,0.0,-0.066,0.272
11.44,0.0,-0.002,0.272
11.46,0.0,0.063,0.272
11.48,0.0,0.127,0.272
11.5,0.0,0.19,0.272
11.52,0.0,0.25,0.272
11.54,0.0,0.304,0.272
11.56,0.0,0.356,0.272
11.58,0.0,0.401,0.272
11.6,0.0,0.443,0.272
11.62,0.0,0.476,0.272
11.64,0.0,0.504,0.272
11.66,0.0,0.525,0.272
11.68,0.0,0.538,0.272
11.7,0.0,0.543,0.272
11.72,0.0,0.543,0.272
11.74,0.0,0.532,0.272
11.76,0.0,0.515,0.272
11.78,0.0,0.49,0.272
11.8,0.0,0.457,0.272
11.82,0.0,0.421,0.272
11.84,0.0,0.375,0.272
11.86,0.0,0.326,0.272
11.88,0.0,0.274,0.272
11.9,0.0,0.215,0.272
11.92,0.0,0.154,0.272
11.94,0.0,0.091,0.272
11.96,0.0,0.028,0.272
11.98,0.0,-0.038,0.272
12.0,0.0,-0.103,0.272
12.02,0.0,-0.164,0.272
12.04,0.0,-0.225,0.272
12.06,0.0,-0.283,0.272
12.08,0.0,-0.335,0.272
12.1,0.0,-0.384,0.272
12.12,0.0,-0.428,0.272
12.14,0.0,-0.464,0.272
12.16,0.0,-0.494,0.272
12.18,0.0,-0.518,0.272
12.2,0.0,-0.534,0.272
12.22,0.0,-0.543,0.272
12.24,0.0,-0.545,0.272
12.26,0.0,-0.539,0.272
12.28,0.0,-0.524,0.272
12.3,0.0,-0.503,0.272
12.32,0.0,-0.475,0.272
12.34,0.0,-0.44,0.272
12.36,0.0,-0.398,0.272
12.38,0.0,-0.351,0.272
12.4,0.0,-0.298,0.272
12.42,0.0,-0.243,0.272
12.44,0.0,-0.183,0.272
12.46,0.0,-0.122,0.272
12.48,0.0,-0.058,0.272
12.5,0.0,0.007,0.272
12.52,0.0,0.072,0.272
12.54,0.0,0.134,0.272
12.56,0.0,0.195,0.272
12.58,0.0,0.255,0.272
