Tiempo ;REI;V_ANGULA;V_CARRIT;ANGULO;CARRITO;REFERENC;;;;;;;;
6,48;-0,04;-0,044;0,005;-0,003;0,495;0,5;;;;;;;;
6,5;-0,105;-0,092;0,004;-0,005;0,495;0,5;;;;;;;;
6,52;-0,061;-0,047;0,001;-0,005;0,495;0,5;;;;;;;;
6,54;-0,018;0,005;0;-0,005;0,495;0,5;;;;;;;;
6,56;0,06;0,049;-0,002;-0,003;0,495;0,5;;;;;;;;
6,58;0,139;0,092;-0,003;-0,002;0,495;0,5;;;;;;;;
6,6;0,105;0,046;-0,002;-0,002;0,495;0,5;;;;;;;;
6,62;0,127;0,04;0,001;0;0,495;0,5;;;;;;;;
6,64;0,046;-0,001;0,005;-0,002;0,495;0,5;;;;;;;;
6,66;-0,072;-0,092;0,008;-0,003;0,495;0,5;;;;;;;;
6,68;-0,106;-0,095;0,006;-0,005;0,495;0,5;;;;;;;;
6,7;-0,051;-0,043;0,001;-0,005;0,495;0,5;;;;;;;;
6,72;0,062;0,049;-0,001;-0,003;0,495;0,5;;;;;;;;
6,74;0,068;0,051;-0,001;-0,003;0,495;0,5;;;;;;;;
6,76;0,1;0,044;-0,001;-0,002;0,495;0,5;;;;;;;;
6,78;0,091;0,043;0,002;-0,002;0,495;0,5;;;;;;;;
6,8;0,047;-0,001;0,004;-0,002;0,495;0,5;;;;;;;;
6,82;0,044;-0,004;0,004;-0,002;0,495;0,5;;;;;;;;
6,84;-0,024;-0,045;0,004;-0,003;0,495;0,5;;;;;;;;
6,86;-0,027;-0,047;0,004;-0,003;0,495;0,5;;;;;;;;
6,88;0,018;0,001;0,002;-0,003;0,495;0,5;;;;;;;;
6,9;0,096;0,048;0;-0,002;0,495;0,5;;;;;;;;
6,92;0,165;0,092;0;0;0,495;0,5;;;;;;;;
6,94;0,123;0,046;0,002;0;0,496;0,5;;;;;;;;
6,96;0,077;-0,005;0,004;0;0,496;0,5;;;;;;;;
6,98;0,072;-0,004;0,005;0;0,496;0,5;;;;;;;;
7;0,07;0;0,005;0;0,496;0,5;;;;;;;;
7,02;-0,001;-0,044;0,005;-0,002;0,496;0,5;;;;;;;;
7,04;0,002;-0,047;0,004;-0,002;0,496;0,5;;;;;;;;
7,06;0,047;0,001;0,001;-0,002;0,496;0,5;;;;;;;;
7,08;0,113;0,048;0,001;0;0,496;0,5;;;;;;;;
7,1;0,099;0,047;0,004;0;0,496;0,5;;;;;;;;
7,12;0,057;-0,001;0,006;0;0,496;0,5;;;;;;;;
7,14;0,054;-0,004;0,005;0;0,496;0,5;;;;;;;;
7,16;-0,024;-0,045;0,006;-0,002;0,497;0,5;;;;;;;;
7,18;-0,026;-0,047;0,006;-0,002;0,497;0,5;;;;;;;;
7,2;0,101;0,045;0;0;0,497;0,5;;;;;;;;
7,22;0,187;0,096;-0,003;0,002;0,496;0,5;;;;;;;;
7,24;0,14;0,047;0;0,002;0,497;0,5;;;;;;;;
