Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
8,54;1,7;1,7;0,6;0,6;0;;;;;;;
8,56;1,702;1,702;0,6;0,6;0;;;;;;;
8,58;1,704;1,704;0,6;0,6;0;;;;;;;
8,6;1,706;1,706;0,6;0,6;0;;;;;;;
8,62;1,707;1,707;0,6;0,6;0;;;;;;;
8,64;1,707;1,707;0,6;0,6;0;;;;;;;
8,66;1,708;1,708;0,6;0,6;0;;;;;;;
8,68;1,708;1,708;0,6;0,6;0;;;;;;;
8,7;1,708;1,708;0,6;0,6;0;;;;;;;
8,72;1,754;1,754;0,599;0,6;0;;;;;;;
8,74;1,741;1,741;0,599;0,6;0;;;;;;;
8,76;1,733;1,733;0,599;0,6;0;;;;;;;
8,78;1,727;1,727;0,599;0,6;0;;;;;;;
8,8;1,767;1,767;0,597;0,6;0;;;;;;;
8,82;1,752;1,752;0,597;0,6;0;;;;;;;
8,84;1,741;1,741;0,597;0,6;0;;;;;;;
8,86;1,733;1,733;0,597;0,6;0;;;;;;;
8,88;1,728;1,728;0,597;0,6;0;;;;;;;
8,9;1,724;1,724;0,597;0,6;0;;;;;;;
8,92;1,721;1,721;0,597;0,6;0;;;;;;;
8,94;1,719;1,719;0,597;0,6;0;;;;;;;
8,96;1,718;1,718;0,597;0,6;0;;;;;;;
8,98;1,717;1,717;0,597;0,6;0;;;;;;;
9;1,716;1,716;0,597;0,6;0;;;;;;;
9,02;1,716;1,716;0,597;0,6;0;;;;;;;
9,04;1,716;1,716;0,597;0,6;0;;;;;;;
9,06;1,67;1,67;0,599;0,6;0;;;;;;;
9,08;1,682;1,682;0,599;0,6;0;;;;;;;
9,1;1,691;1,691;0,599;0,6;0;;;;;;;
9,12;1,652;1,652;0,6;0,6;0;;;;;;;
9,14;1,669;1,669;0,6;0,6;0;;;;;;;
9,16;1,681;1,681;0,6;0,6;0;;;;;;;
9,18;1,69;1,69;0,6;0,6;0;;;;;;;
9,2;1,651;1,651;0,602;0,6;0;;;;;;;
9,22;1,667;1,667;0,602;0,6;0;;;;;;;
9,24;1,679;1,679;0,602;0,6;0;;;;;;;
9,26;1,687;1,687;0,602;0,6;0;;;;;;;
9,28;1,693;1,693;0,602;0,6;0;;;;;;;
9,3;1,698;1,698;0,602;0,6;0;;;;;;;
